"id","sku","slug","name","shortDescription","longDescription","category","price","compareAtPrice","imageUrl","badge","featured","inventory"
31,"WAC-BIN-6A0964FD","strong-tie-bin-bags-24","Strong Tie Bin Bags","A pack of strong tie-top bags for household clear-outs.","A pack of strong tie-top bags for household clear-outs.","Bin Bags",2.99,4.49,"https://images.unsplash.com/photo-1611284446314-60a58ac0deb9?auto=format&fit=crop&w=900&q=80","Bulk Buy",false,173
30,"WAC-PAP-074088BC","kitchen-roll-4-pack-23","Kitchen Roll 4 Pack","Absorbent kitchen roll for everyday spills and cleaning.","Absorbent kitchen roll for everyday spills and cleaning.","Paper Products",3.99,5.49,"https://images.unsplash.com/photo-1583947215259-38e31be8751f?auto=format&fit=crop&w=900&q=80","Multibuy",false,166
29,"WAC-CLE-1312FCB0","multi-surface-cleaning-spray-22","Multi-Surface Cleaning Spray","A fresh-scented everyday spray for hard surfaces.","A fresh-scented everyday spray for hard surfaces.","Cleaning",2.49,3.99,"https://images.unsplash.com/photo-1585832770485-e68a5dbfad52?auto=format&fit=crop&w=900&q=80","Everyday Value",false,159
28,"WAC-GIF-FFF92948","build-your-day-gift-box-21","Build-Your-Day Gift Box","A cheerful ready-to-wrap selection of small treats.","A cheerful ready-to-wrap selection of small treats.","Gift Sets",9.49,14.99,"https://images.unsplash.com/photo-1549465220-1a8b9238cd48?auto=format&fit=crop&w=900&q=80","Limited",false,152
27,"WAC-HOM-F7398755","reed-diffuser-gift-set-20","Reed Diffuser Gift Set","A stylish home fragrance set for an easy thoughtful gift.","A stylish home fragrance set for an easy thoughtful gift.","Home Gifts",8.49,12.99,"https://images.unsplash.com/photo-1602523961358-f9f03dd557db?auto=format&fit=crop&w=900&q=80","Bestseller",true,145
26,"WAC-GIF-AF9455E3","travel-grooming-kit-19","Travel Grooming Kit","A compact grooming kit for weekends and travel.","A compact grooming kit for weekends and travel.","Gifts for Him",7.99,12.99,"https://images.unsplash.com/photo-1621607512214-68297480165e?auto=format&fit=crop&w=900&q=80","Gift Pick",false,138
25,"WAC-GIF-37D297D8","scented-candle-trio-18","Scented Candle Trio","Three softly scented candles ready for gifting.","Create a warm, welcoming atmosphere with this beautifully coordinated trio of scented candles. Each candle offers a complementary fragrance designed to be enjoyed individually or burned together for a softly layered scent throughout your home. Presented as a ready-to-gift set, they make a thoughtful choice for birthdays, housewarmings, thank-you gifts or a relaxing evening in. Place them across a living room, bedroom or bathroom to add a gentle glow and inviting fragrance. Always place candles on a stable, heat-resistant surface, trim the wick before lighting and never leave a burning candle unattended.","Gifts for Her",6.99,10.99,"https://images.unsplash.com/photo-1603006905003-be475563bc59?auto=format&fit=crop&w=900&q=80","Gift Pick",true,131
24,"WAC-KIT-2B20742A","bamboo-utensil-set-17","Bamboo Utensil Set","A handy set of lightweight bamboo tools for the kitchen.","A handy set of lightweight bamboo tools for the kitchen.","Kitchen Accessories",2.99,4.99,"https://images.unsplash.com/photo-1556911220-e15b29be8c8f?auto=format&fit=crop&w=900&q=80","Everyday Value",false,124
23,"WAC-GLA-C3F7083D","stemless-glass-set-16","Stemless Glass Set","Four modern glasses for everyday drinks and entertaining.","Four modern glasses for everyday drinks and entertaining.","Glassware & Drinkware",5.49,8.99,"https://images.unsplash.com/photo-1572116469696-31de0f17cc34?auto=format&fit=crop&w=900&q=80","Save 39%",false,117
22,"WAC-APP-BC1B6D0A","mini-electric-chopper-15","Mini Electric Chopper","Compact chopping power for herbs, onions, and sauces.","Compact chopping power for herbs, onions, and sauces.","Appliances",9.99,15.99,"https://images.unsplash.com/photo-1570222094114-d054a817e56b?auto=format&fit=crop&w=900&q=80","New",true,110
21,"WAC-COO-1520F189","non-stick-frying-pan-14","Non-Stick Frying Pan","A versatile non-stick pan for quick family meals.","A versatile non-stick pan for quick family meals.","Cookware",7.49,11.99,"https://images.unsplash.com/photo-1584990347449-ae6c2e0e6a87?auto=format&fit=crop&w=900&q=80","Hot Deal",true,103
20,"WAC-STO-9D5A8F68","stackable-storage-basket-13","Stackable Storage Basket","A practical basket for shelves, cupboards, and quick tidying.","A practical basket for shelves, cupboards, and quick tidying.","Storage",3.49,5.99,"https://images.unsplash.com/photo-1595428774223-ef52624120d2?auto=format&fit=crop&w=900&q=80","Everyday Value",false,96
19,"WAC-BAT-1A0D837D","cosy-fleece-bathrobe-12","Cosy Fleece Bathrobe","A warm fleece robe for slow mornings and cosy evenings.","A warm fleece robe for slow mornings and cosy evenings.","Bathrobes",8.99,14.99,"https://images.unsplash.com/photo-1578898887932-dce23a595ad4?auto=format&fit=crop&w=900&q=80","Last Chance",false,89
18,"WAC-TOW-155E0332","quick-dry-bath-towel-11","Quick-Dry Bath Towel","A generously sized quick-dry towel for everyday use.","A generously sized quick-dry towel for everyday use.","Towels",4.49,7.99,"https://images.unsplash.com/photo-1584622781564-1d987f7333c1?auto=format&fit=crop&w=900&q=80","Save 44%",true,82
17,"WAC-SHE-60D1C2A6","easy-care-fitted-sheet-10","Easy-Care Fitted Sheet","Soft easy-care bedding with a secure elasticated edge.","Soft easy-care bedding with a secure elasticated edge.","Sheets",4.99,7.99,"https://images.unsplash.com/photo-1631049307264-da0ec9d70304?auto=format&fit=crop&w=900&q=80","New",false,75
16,"WAC-DUV-D7682711","king-duvet-cover-set-9","King Duvet Cover Set","A simple, washable duvet cover set in a neutral finish.","A simple, washable duvet cover set in a neutral finish.","Duvet Covers & Bed Sets",9.99,16.99,"https://images.unsplash.com/photo-1618220179428-22790b461013?auto=format&fit=crop&w=900&q=80","Hot Deal",true,68
15,"WAC-PIL-1EC3D028","cloud-comfort-pillow-8","Cloud Comfort Pillow","A plump, comfortable pillow for a better night's sleep.","A plump, comfortable pillow for a better night's sleep.","Pillows",3.99,6.99,"https://images.unsplash.com/photo-1584100936595-c0654b55a2e2?auto=format&fit=crop&w=900&q=80","Bestseller",true,61
14,"WAC-BED-89AD6487","velvet-cushion-pair-7","Velvet Cushion Pair","Two soft-touch cushions to add an easy colour refresh.","Two soft-touch cushions to add an easy colour refresh.","Bedroom",5.99,9.99,"https://images.unsplash.com/photo-1584100936595-c0654b55a2e2?auto=format&fit=crop&w=900&q=80","Save 40%",true,54
13,"WAC-FOR-3765B1B6","table-lamp-6","Table Lamp","A warm, compact lamp for bedside tables and reading corners.","A warm, compact lamp for bedside tables and reading corners.","For the Home",8.99,14.99,"https://images.unsplash.com/photo-1507473885765-e6ed057f782c?auto=format&fit=crop&w=900&q=80","Last Chance",false,47
12,"WAC-FOO-79365E8F","glass-food-storage-box-5","Glass Food Storage Box","A simple glass container for prepping, packing, and storing.","A simple glass container for prepping, packing, and storing.","Food Storage",3.49,5.99,"https://images.unsplash.com/photo-1583947215259-38e31be8751f?auto=format&fit=crop&w=900&q=80","New",false,40
11,"WAC-WOM-D4D82BD8","relaxed-cotton-t-shirt-4","Relaxed Cotton T-Shirt","A soft cotton staple in an easy, relaxed fit.","A soft cotton staple in an easy, relaxed fit.","Women's",4.49,6.99,"https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?auto=format&fit=crop&w=900&q=80","Trending",false,33
10,"WAC-AUD-2114AB45","portable-bluetooth-speaker-3","Portable Bluetooth Speaker","Compact wireless sound for kitchens, gardens, and weekends away.","Compact wireless sound for kitchens, gardens, and weekends away.","Audio",7.99,12.99,"https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?auto=format&fit=crop&w=900&q=80","Hot Deal",true,26
9,"WAC-BAT-4DDF6520","cotton-towel-set-2","Cotton Towel Set","Two soft, quick-dry towels for an easy bathroom refresh.","Two soft, quick-dry towels for an easy bathroom refresh.","Bathroom",4.99,8.99,"https://www.americanblanketcompany.com/cdn/shop/files/cotton-bathtowels-white-productthumbnail-2025_2000x.jpg?v=1749829306","Save 44%",true,19
8,"WAC-ACC-A145577C","stainless-steel-water-bottle-1","Stainless Steel Water Bottle","A durable everyday bottle with a leak-resistant lid.","A durable everyday bottle with a leak-resistant lid.","Accessories",2.99,4.99,"https://images.unsplash.com/photo-1602143407151-7111542de6e8?auto=format&fit=crop&w=900&q=80","Bestseller",true,12
7,"WAC-FOR-90ADB0D1","glow-table-lamp-6","Table Lamp","A warm, compact lamp for bedside tables and reading corners.","A warm, compact lamp for bedside tables and reading corners.","For the Home",8.99,14.99,"https://images.unsplash.com/photo-1507473885765-e6ed057f782c?auto=format&fit=crop&w=900&q=80","Last Chance",false,47
6,"WAC-FOO-7B5669F3","glass-storage-box-5","Glass Food Storage Box","A simple glass container for prepping, packing, and storing.","A simple glass container for prepping, packing, and storing.","Food Storage",3.49,5.99,"https://images.unsplash.com/photo-1583947215259-38e31be8751f?auto=format&fit=crop&w=900&q=80","New",false,40
5,"WAC-WOM-E09B50B2","cotton-oversized-tee-4","Relaxed Cotton T-Shirt","A soft cotton staple in an easy, relaxed fit.","A soft cotton staple in an easy, relaxed fit.","Women's",4.49,6.99,"https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?auto=format&fit=crop&w=900&q=80","Trending",false,33
4,"WAC-AUD-E87B4212","mini-bluetooth-speaker-3","Portable Bluetooth Speaker","Compact wireless sound for kitchens, gardens, and weekends away.","Compact wireless sound for kitchens, gardens, and weekends away.","Audio",7.99,12.99,"https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?auto=format&fit=crop&w=900&q=80","Hot Deal",true,26
3,"WAC-BAT-C22CDF10","cloud-soft-towel-set-2","Cotton Towel Set","Two soft, quick-dry towels for an easy bathroom refresh.","Two soft, quick-dry towels for an easy bathroom refresh.","Bathroom",4.99,8.99,"https://www.americanblanketcompany.com/cdn/shop/files/cotton-bathtowels-white-productthumbnail-2025_2000x.jpg?v=1749829306","Save 44%",true,19
1,"WAC-ACC-F4E74511","smart-steel-bottle-1","Stainless Steel Water Bottle","A durable everyday bottle with a leak-resistant lid.","A durable everyday bottle with a leak-resistant lid.","Accessories",2.99,4.99,"https://images.unsplash.com/photo-1602143407151-7111542de6e8?auto=format&fit=crop&w=900&q=80","Bestseller",true,12
